region,clubId,name,address1,address2,address3,email,phone,website,lat,lng,holes,hasTeeBooking,url
Auckland,472,Waiuku Golf & Squash Club,1 Racecourse Rd,Waiuku 1852,,Info@waiukugolfandsquash.com,09 235 9489,,-37.24596,174.73645,0,True,https://www.golf.co.nz/club-detail?clubid=472
Auckland,565,Wattle Downs Golf Club,130 Wattle Farm Road,"Wattle Downs, Manurewa",Auckland 2103,admin@wattledownsgolf.co.nz,(09) 268 1929,,-37.04669,174.87973,0,True,https://www.golf.co.nz/club-detail?clubid=565
Auckland,491,Whitford Park Golf Club,58 Whitford Park Road,Whitford,Auckland 2576,office@whitfordpark.co.nz,(09) 530 8823,,-36.95079,174.967026,0,True,https://www.golf.co.nz/club-detail?clubid=491
Auckland,587,Windross Farm Golf Course,237 Alfriston-Ardmore Road,Ardmore,Auckland,gm@windrossfarm.co.nz,(09) 281 5414,,-37.02184,174.969223,0,True,https://www.golf.co.nz/club-detail?clubid=587
Bay of Plenty,933,BOP Golf,,,,sam.kendall@golfnz.org,,,-37.7261925,176.121567,0,False,https://www.golf.co.nz/club-detail?clubid=933
Bay of Plenty,517,Fairview Golf Club,34 Sharp Rd,KATIKATI,,info@fairviewgolf.co.nz,07 5493412,,-37.589222,175.916763,0,True,https://www.golf.co.nz/club-detail?clubid=517
Bay of Plenty,908,Futures Geyserland,,Rotorua,,penny.smith@golfnz.org,027 4599633,,-38.161087,176.252518,0,False,https://www.golf.co.nz/club-detail?clubid=908
Bay of Plenty,177,Hamurana Park Golf Club,773 Hamurana Road,Rotorua 3010,,marnie.flavell54@gmail.com,0800 426 8726,,-38.03349,176.258728,0,False,https://www.golf.co.nz/club-detail?clubid=177
Bay of Plenty,191,Hinehopu Golf Club,1779 State Highway 30,Rotoiti Forest,Rotorua 3074,hinehopugolfclub@gmail.com,07 3627629,,-38.13638,176.287857,0,False,https://www.golf.co.nz/club-detail?clubid=191
Bay of Plenty,217,Kawerau Golf Club,Cobham Drive,Kawerau,,kaweraugolfclub@gmail.com,07 3237095,,-38.10164,176.700226,0,False,https://www.golf.co.nz/club-detail?clubid=217
Bay of Plenty,221,Kinloch Village Golf Club,88 Kinloch Road,KInloch,Taupo 3377,inwards.kvgc@gmail.com,0274851948,,-38.65723,175.92836,0,False,https://www.golf.co.nz/club-detail?clubid=221
Bay of Plenty,554,Lake Rotoiti Golf Course,843 State Highway 30,Tikitere,Lake Rotoiti,info@cogentcorp.co.nz,021 670 837,,-38.048008,176.408356,0,True,https://www.golf.co.nz/club-detail?clubid=554
Bay of Plenty,224,Lake View Golf and Country Club Golf Club,704 SH 5,TARUKENGA,ROTORUA,info@lakeviewgolf.co.nz,027 2010 940,,-38.0706635,176.146912,0,True,https://www.golf.co.nz/club-detail?clubid=224
Bay of Plenty,271,Mount Maunganui Golf Club,15 Fairway Ave,Mount Maunganui 3116,,mmgc@mountgolf.co.nz,(07) 572 7044,,-37.6627731,176.213013,0,True,https://www.golf.co.nz/club-detail?clubid=271
Bay of Plenty,275,Murupara Golf Club,48 Oregon Drive,Murupara,,trina.bockman@tll.co.nz,0274 664 153,,-38.4830475,176.71048,0,False,https://www.golf.co.nz/club-detail?clubid=275
Bay of Plenty,295,Ohope Beach Golf Links,541 Harbour Road,Ohope,3121,office@ohopegolf.nz,07 312 4486,,-37.9876,177.129044,0,True,https://www.golf.co.nz/club-detail?clubid=295
Bay of Plenty,300,Omanu Golf Club,98 Matapihi Road,Mt Maunganui 3116,,manager@omanugolf.co.nz,(07) 575 5957,,-37.6731262,176.214584,0,True,https://www.golf.co.nz/club-detail?clubid=300
Bay of Plenty,482,Omokoroa Golf Club,67 Links View Drive,Omokoroa,,info@omokoroagolf.co.nz,07 5480384,,-37.64244,176.026169,0,True,https://www.golf.co.nz/club-detail?clubid=482
Bay of Plenty,304,Opotiki Golf Club,14 Fromow Road,Opotiki,,opotikigolf@xtra.co.nz,07  315 7415,,-38.01388,177.26561,0,False,https://www.golf.co.nz/club-detail?clubid=304
Bay of Plenty,311,Otumoetai Golf Club,25 BURETA RD,OTUMOETAI,TAURANGA,info@otumoetaigolf.co.nz,(07) 576 9739,,-37.6679649,176.15239,0,False,https://www.golf.co.nz/club-detail?clubid=311
Bay of Plenty,556,Renner Park Golf Club,119 Taipari Street,Maungatapu,Tauranga,,07 5446411,,-37.7422,176.141754,0,False,https://www.golf.co.nz/club-detail?clubid=556
Bay of Plenty,452,Reporoa Golf Club,236 East Road,,,reporoagolf@gmail.com,0276856532,,-38.5003548,176.365845,0,False,https://www.golf.co.nz/club-detail?clubid=452
Bay of Plenty,368,Rotorua Golf Club,399 Fenton Street,Rotorua,,admin@rotoruagolfclub.nz,07 348 4051,,-38.161087,176.252518,0,True,https://www.golf.co.nz/club-detail?clubid=368
Bay of Plenty,377,Springfield Golf Club,150 Devon Street West,Rotorua 3015,New Zealand,admin@springfieldgolf.co.nz,(07) 348 2748,,-38.15552,176.232452,0,True,https://www.golf.co.nz/club-detail?clubid=377
Bay of Plenty,588,Summerhill Golf Course,23 Summerhill Drive,Papamoa,,info@summerhillestate.co.nz,0210518653,,-37.760437,176.258789,0,True,https://www.golf.co.nz/club-detail?clubid=588
Bay of Plenty,533,Taupo Golf Club,Centennial Drive,Taupo 3378,New Zealand,golf@taupogolf.co.nz,(07) 378 6933,,-38.6774673,176.104828,0,True,https://www.golf.co.nz/club-detail?clubid=533
Bay of Plenty,400,Tauranga Golf Club,Racecourse Reserve,Cameron Road,Tauranga 3142,manager@taurangagolf.co.nz,07 578 8465,,-37.7261925,176.121567,0,True,https://www.golf.co.nz/club-detail?clubid=400
Bay of Plenty,412,Te Puke Golf Club,847 State Highway 2,Te Puke 3186,New Zealand,directorofgolf@tepukegolfclub.co.nz,(07) 533 1115,,-37.8013763,176.403687,0,True,https://www.golf.co.nz/club-detail?clubid=412
Bay of Plenty,519,Te Teko Golf Club,174 Tahuna Road,Te Teko,,tetekogolf1@xtra.co.nz,021929549,,-38.0537643,176.79657,0,False,https://www.golf.co.nz/club-detail?clubid=519
Bay of Plenty,562,The Kinloch Club,The Kinloch Golf Resort,"Kinloch Road, Kinloch",Taupo,tom@thekinlochclub.com,(07) 377 8484,,-38.6486,175.93251,0,True,https://www.golf.co.nz/club-detail?clubid=562
Bay of Plenty,520,Turangi Golf Club,Turangi Golf Club,Atirau Road,Turangi,accounts@turangigolfclub.com,07 386 8724,,-38.9968147,175.802658,0,False,https://www.golf.co.nz/club-detail?clubid=520
Bay of Plenty,444,Waikite Valley Golf Club,643 Waikite Valley Road,Waikite Valley,,judithandcolin@xtra.co.nz.co.nz,021 153 4681,,-38.32819,176.306442,0,False,https://www.golf.co.nz/club-detail?clubid=444
Bay of Plenty,459,Wairakei International Golf Course,527 Wairakei Drive,Taupo ,New Zealand,,(07) 374 8152,,-38.63833,176.0851,0,True,https://www.golf.co.nz/club-detail?clubid=459
Bay of Plenty,555,Wairakei Resort,,,,reservations@wairakei.co.nz,(07) 374 9004,,-38.6265945,176.089127,0,False,https://www.golf.co.nz/club-detail?clubid=555
Bay of Plenty,485,Whakatane Golf Club,181 Golf Links Rd,Whakatane,,manager@whakatanegolf.co.nz,07 3088117,,-37.92795,176.937561,0,True,https://www.golf.co.nz/club-detail?clubid=485
Canterbury,101,Akaroa Golf Club,77 Pawsons Valley Road,Duvauchelle,,akaroagolf@xtra.co.nz,03 3045704,,-43.73899,172.934814,0,True,https://www.golf.co.nz/club-detail?clubid=101
Canterbury,105,Amberley Golf Club,85 Golf Links Road,Amberley Beach,,amberleygolf@gmail.com,03 314 8735,,-43.16354,172.785217,0,False,https://www.golf.co.nz/club-detail?clubid=105
Canterbury,106,Amuri Golf Club,MAIN ROAD ROTHERHAM NORTH,ROTHERHAM  ,NORTH CANTERBURY,golfclub@fyfedowns.co.nz,,,-42.5924454,173.09729,0,False,https://www.golf.co.nz/club-detail?clubid=106
Canterbury,114,Avondale Golf Club,Cnr Wainoni & Breezes Roads,Avondale,Christchurch,avondaleoffice@xtra.co.nz,03-3888203,,-43.50961,172.692657,0,True,https://www.golf.co.nz/club-detail?clubid=114
Canterbury,492,Bottle Lake Golf Club,115 Waitikiri Drive,Parklands,CHRISTCHURCH    8083  ,admin@bottlelakegolf.co.nz,(03) 383-1403,,-43.4631462,172.679916,0,True,https://www.golf.co.nz/club-detail?clubid=492
Canterbury,521,Burnham Golf Club Inc.,AYLESBURY ROAD,BURNHAM,,burnhamgolf@outlook.com,03-3476818,,-43.6084328,172.316116,0,False,https://www.golf.co.nz/club-detail?clubid=521
Canterbury,938,Canterbury Golf,,,,Blair@canterburygolf.co.nz,(03) 359 4000,,-43.4779472,172.5211,0,False,https://www.golf.co.nz/club-detail?clubid=938
Canterbury,132,Charteris Bay Golf Club,470 Marine Drive,Charteris Bay,,,0211886293,,-43.6555138,172.699844,0,False,https://www.golf.co.nz/club-detail?clubid=132
Canterbury,134,Cheviot Golf Club,Campbell Road,CHEVIOT,,johnprebble1@gmail.com,0211370188,,-42.8212662,173.22493,0,False,https://www.golf.co.nz/club-detail?clubid=134
Canterbury,136,Christchurch Golf Club,45 Horseshoe Lake Road,Shirley,Christchurch 8061,admin@christchurchgolf.co.nz,(03) 385 9506,,-43.4993973,172.6682,0,True,https://www.golf.co.nz/club-detail?clubid=136
Canterbury,550,Clearwater Golf Club,40a Clearwater Avenue,Northwood,Christchurch 8051,play@clearwatergolf.co.nz,(03) 360 2146,,-43.4507828,172.594818,0,True,https://www.golf.co.nz/club-detail?clubid=550
Canterbury,139,Coringa Golf Club Inc.,680 MCLEANS ISLAND ROAD,HAREWOOD,MCLEANS ISLAND,mgwratt@gmail.com,03-359 7174,,-43.46521,172.491135,0,True,https://www.golf.co.nz/club-detail?clubid=139
Canterbury,143,Culverden Golf Club,MOUNTAINVIEW    ROAD,CULVERDEN,,culverden.golf@xtra.co.nz,03 315 8189,,-42.6097069,172.922058,0,False,https://www.golf.co.nz/club-detail?clubid=143
Canterbury,150,Ellesmere Golf Club,Feredays Road ,Southbridge,RD3 Leeston,ellesmeregolfclub@gmail.com,03 3242886,,-43.7763863,172.250809,0,True,https://www.golf.co.nz/club-detail?clubid=150
Canterbury,152,Everglades Country Golf Club,637 Marshland Road,Ouruhia ,Christchurch 8083,,(03) 3238641,,-43.449028,172.656509,0,False,https://www.golf.co.nz/club-detail?clubid=152
Canterbury,910,Futures Canterbury,375 McLean Island Road,Harewood,Christchurch,,03 359 4151,,-43.47646,172.518875,0,False,https://www.golf.co.nz/club-detail?clubid=910
Canterbury,172,Greendale Golf Club,987 Coaltrack Road,Greendale,Canterbury 7671,office@greendalegolf.com,03 318 8046,,-43.609314,172.134918,0,False,https://www.golf.co.nz/club-detail?clubid=172
Canterbury,175,Hagley Golf Club,North Hagley Park,Christchurch,8140,hagley@golf.co.nz,033798279,,-43.5269852,172.617569,0,False,https://www.golf.co.nz/club-detail?clubid=175
Canterbury,178,Hanmer Springs Golf Club,133 Argelins Road,Hanmer Springs,7360,hanmerspringsgolfclub@gmail.com,03 315 7110,,-42.5208664,172.819077,0,False,https://www.golf.co.nz/club-detail?clubid=178
Canterbury,179,Harewood Golf Club,371 McLeans Island Road,Harewood,Christchurch 8051,,(03) 359 8843,,-43.4779472,172.5211,0,True,https://www.golf.co.nz/club-detail?clubid=179
Canterbury,182,Hawarden Golf Club,53 Horsley Downs Rd.,,,admin@hawardengolf.com,03  3142147,,-42.9192352,172.637054,0,False,https://www.golf.co.nz/club-detail?clubid=182
Canterbury,925,Hickory Golf Club,,,,admin@christchurchgolf.co.nz,021 333 978,,-43.4993973,172.6682,0,False,https://www.golf.co.nz/club-detail?clubid=925
Canterbury,193,Hororata Golf Club,2597 Homebush Road,Glentunnel,7673,hororatagc@gmail.com,03 3182887,,-43.481308,171.940582,0,True,https://www.golf.co.nz/club-detail?clubid=193
Canterbury,206,Kaiapoi Golf Club,373 Williams Road,Kaiapoi,Christchurch,info@kaiapoigolf.co.nz,033277320,,-43.3712578,172.661865,0,True,https://www.golf.co.nz/club-detail?clubid=206
Canterbury,213,Kaituna Golf Club,Jones Rd,Kaitorete Spit,Birdlings Flat Little River 7591,kaitunagolf@gmail.com,021886004,,-43.8124657,172.679108,0,False,https://www.golf.co.nz/club-detail?clubid=213
Canterbury,227,Lincoln Golf Club,Boundary Rd,Lincoln,,,(03)3252453,,-43.6275635,172.485519,0,False,https://www.golf.co.nz/club-detail?clubid=227
Canterbury,261,McLeans Island Golf Club,800 McLeans Island Road,McLeans Island,Christchurch 8051,golfshop@mcleansislandgolf.co.nz,(03) 3599768,,-43.4638,172.470612,0,True,https://www.golf.co.nz/club-detail?clubid=261
Canterbury,566,Pegasus Golf Club,8 Mapleham Drive,Pegasus 7612,North Canterbury,golf@pegasus-golfclub.co.nz,(03) 920 3300,,-43.31358,172.682617,0,True,https://www.golf.co.nz/club-detail?clubid=566
Canterbury,353,Rangiora Golf Club,79 Golf Links Road,Rangiora 7440,,rangioragolfclub@gmail.com,03 313-6666,,-43.2916832,172.620743,0,True,https://www.golf.co.nz/club-detail?clubid=353
Canterbury,358,Rawhiti Golf Club,100 Shaw Ave,New Brighton,Christchurch,rawhitigolfclub@gmail.com,03 3887408,,-43.5042534,172.725159,0,False,https://www.golf.co.nz/club-detail?clubid=358
Canterbury,371,Russley Golf Club,428 Memorial Avenue,Christchurch,,info@russleygc.co.nz,03 358-4748,,-43.4909134,172.555557,0,True,https://www.golf.co.nz/club-detail?clubid=371
Canterbury,372,Scargill Golf Club,Scargill Waikari Valley Road,,,scargillgolf@gmail.com,0273691941,,-42.9543,172.7732,0,False,https://www.golf.co.nz/club-detail?clubid=372
Canterbury,385,Tai Tapu Golf Club,722 Old Tai Tapu Road,Rhodes Domain,Tai Tapu,secretary@taitapugolf.nz,03-329-6710,,-43.6541176,172.555557,0,True,https://www.golf.co.nz/club-detail?clubid=385
Canterbury,413,Templeton Golf Club,273 Pound Road,Templeton,Christchurch 7676,ash.morris@templetongc.co.nz,(03) 349 7571,,-43.53758,172.490829,0,True,https://www.golf.co.nz/club-detail?clubid=413
Canterbury,542,Terrace Downs High Country Resort & Golf Club,623 Coleridge Road,Windwhistle 7572,,golfshop@terracedownsresort.com,03 318 6943,,-43.38548,171.565063,0,False,https://www.golf.co.nz/club-detail?clubid=542
Canterbury,930,The Range,Unit 2/ 1 Lake Bryndwr Lane,Burnside,Christchurch,info@therangegolf.co.nz,0272142089,,-43.2929,172.3356,0,False,https://www.golf.co.nz/club-detail?clubid=930
Canterbury,522,Waimairi Beach Golf Club,460 Bower Avenue,Parklands,Christchurch 8083,office@waimairibeach.co.nz,(03) 383 0307,,-43.4816971,172.71196,0,True,https://www.golf.co.nz/club-detail?clubid=522
Canterbury,523,Waimakariri Gorge Golf Club,1847 Thongcaster Road,Oxford,Canterbury,info@waimakgolf.nz,(03) 312 4339,,-43.3510666,172.063538,0,False,https://www.golf.co.nz/club-detail?clubid=523
Canterbury,469,Waitikiri Golf Club,111 Waitikiri Drive,Burwood ,Christchurch,admin@waitikirigolf.co.nz,03 383-1400,,-43.4682426,172.676346,0,True,https://www.golf.co.nz/club-detail?clubid=469
Canterbury,479,Weedons Country Club,132 McClelland Road,RD5,Weedons,weedonsgolf@gmail.com,03 3478519,,-43.56882,172.4089,0,True,https://www.golf.co.nz/club-detail?clubid=479
Hawkes Bay,557,Cape Kidnappers Golf Course,448 Clifton Road,Te Awanga,Hawke's Bay,proshop@capekidnappers.com,06 875 1900,,-39.6405945,176.9942,0,False,https://www.golf.co.nz/club-detail?clubid=557
Hawkes Bay,494,Cape Turnagain Golf Club,,,,Capeturnagaingolfclub28@gmail.com,,,-40.506218,176.534668,0,False,https://www.golf.co.nz/club-detail?clubid=494
Hawkes Bay,144,Dannevirke Golf Club,TAMAKI RIVER ROAD,R D 2,DANNEVIRKE,dannevirkegolf@xtra.co.nz,06-374-8248,,-40.2246361,176.06308,0,False,https://www.golf.co.nz/club-detail?clubid=144
Hawkes Bay,919,Futures Hawke's Bay,,,,futureshawkesbay@golfnz.org,0273642614,,-39.5592651,176.836258,0,False,https://www.golf.co.nz/club-detail?clubid=919
Hawkes Bay,939,Golf Hawkes Bay,,,,golf.titliest@gmail.com,,,-39.6361656,176.768692,0,False,https://www.golf.co.nz/club-detail?clubid=939
Hawkes Bay,180,Hastings Golf Club,1523 Maraekakaho Road,RD 5,Hastings 4175,manager@hastingsgolfclub.co.nz,(06) 879 7206,,-39.6506081,176.773666,0,True,https://www.golf.co.nz/club-detail?clubid=180
Hawkes Bay,184,Hawkes Bay Golf Club,114 Valentine Rd,HASTINGS,,office@hbgolf.co.nz,06-8798890,,-39.6361656,176.768692,0,True,https://www.golf.co.nz/club-detail?clubid=184
Hawkes Bay,569,Karamu Golf Club,GOLFLANDS,248 STATE HIGHWAY 51,R D 2 Hastings 4172,bobzatgolf@gmail.com,,,-39.6211853,176.889954,0,True,https://www.golf.co.nz/club-detail?clubid=569
Hawkes Bay,246,Maraenui Golf Club,285 Te Awa Ave,Napier,,manager@maraenuigolf.co.nz,06 835 8273,,-39.53536,176.917709,0,True,https://www.golf.co.nz/club-detail?clubid=246
Hawkes Bay,276,Napier Golf Club Inc.,"1215 Korokipo Road, St Hwy 50",R D 3,Napier 4183,manager@napiergolf.co.nz,(06) 844 7913,,-39.5592651,176.836258,0,True,https://www.golf.co.nz/club-detail?clubid=276
Hawkes Bay,288,Norsewood Golf Club,13 Smith St,Dannevirke,,,063746261/0272911262,,-40.05918,176.238052,0,False,https://www.golf.co.nz/club-detail?clubid=288
Hawkes Bay,303,Onga Onga Golf Club,1647,Highway 50,Onga Onga,oogc@xtra.co.nz,06 8566 879,,-39.9145546,176.401855,0,False,https://www.golf.co.nz/club-detail?clubid=303
Hawkes Bay,334,Pongaroa Golf Club,none,,,kandmmartin@xtra.co.nz,none,,-40.5385132,176.1812,0,False,https://www.golf.co.nz/club-detail?clubid=334
Hawkes Bay,335,Porangahau Golf Club,Beach Road,Porangahau,,,06 8555029,,-40.30101,176.639221,0,False,https://www.golf.co.nz/club-detail?clubid=335
Hawkes Bay,339,Puketitiri Golf Club,4840 Puketitiri road,Hutchinson Domain,Puketitiri,puketitirigolf@gmail.com,0274648147,,-39.4928436,176.912018,0,False,https://www.golf.co.nz/club-detail?clubid=339
Hawkes Bay,390,Takapau Golf Club,Charlotte Street,Takapau,,takapaugolf@xtra.co.nz,06 855 8385,,-40.023243,176.352615,0,False,https://www.golf.co.nz/club-detail?clubid=390
Hawkes Bay,410,Te Pohue Golf Club,2779 SH5,"Te Pohue, RD2",Napier,jancooper949@gmail.com,021 447549,,-39.4928436,176.912018,0,False,https://www.golf.co.nz/club-detail?clubid=410
